Molecule ChEMBL ID,Molecular Weight,#RO5 Violations,AlogP,Smiles,pChEMBL Value
CHEMBL242783,301.29,0,3.02,NS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,6.46
CHEMBL240497,439.51,0,4.07,CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1C[C@H]2C[C@@H]1CO2)c1ccccc1,9
CHEMBL244511,312.32,0,4.46,NC(=O)Nc1ccc(-c2ccc(SC(F)(F)F)cc2)cc1,6.62
CHEMBL1413473,277.35,0,1.86,CC(=O)NC1=NN(C(C)=O)C(C)(c2ccccc2)S1,6.13
CHEMBL3087427,738.42,3,8.42,O=c1c(-c2ccc(Oc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3C(F)(F)F)cc2)coc2cc(Oc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3C(F)(F)F)cc(O)c12,7.11
CHEMBL267361,362.52,0,4.28,CCN(CC)C(=O)c1c(NC(=O)c2cccs2)sc2c1CC(C)C2,5.46
CHEMBL382587,371.43,0,3.81,CN(CCCN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,7.8
CHEMBL205437,397.47,0,4.21,CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CCNCC1,8.59
CHEMBL3087417,504.33,2,5.5,O=c1cc(-c2ccc(O)cc2)oc2cc(Oc3c([N+](=O)[O-])cc(C(F)(F)F)cc3[N+](=O)[O-])cc(O)c12,7.01
CHEMBL381220,300.31,0,3.66,CC(=O)N1N=C(c2cccc(F)c2F)CC1c1ccccc1,4.9
CHEMBL380367,324.42,0,3.64,Cc1ccc2c(c1C)CN(C(=O)N(C)C)CC2c1cccc(O)c1,6.51
CHEMBL1164553,371.48,1,5.09,Cc1ccc2[nH]c3c(c2c1)CCN(C(=O)C(C)C)C3c1c[nH]c2ccccc12,6.67
CHEMBL2043394,320.46,0,4.07,NCCSC(c1ccccc1)(c1ccccc1)c1ccncc1,6.03
CHEMBL2043420,364.47,0,3.52,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccncc1)C(=O)O,6.29
CHEMBL557885,440.43,0,4.95,COc1ccc(Nc2nc3cc(C(N)=O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,5.6
CHEMBL561696,456.49,1,5.67,CSc1ccc(Nc2nc3cc(C(N)=O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,6.28
CHEMBL562019,489.48,0,4.95,CS(=O)(=O)c1ccc(Nc2nc3cc(C(=O)O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,5.16
CHEMBL562353,503.51,1,3.85,CNC(=O)c1ccc2c(c1)nc(Nc1ccc(S(N)(=O)=O)cc1)n2Cc1ccccc1C(F)(F)F,5.04
CHEMBL549737,507.47,1,3.73,NC(=O)c1cc2nc(Nc3ccc(S(N)(=O)=O)cc3)n(Cc3ccccc3C(F)(F)F)c2cc1F,5.1
